#gene_id	functional_anno
SpGA2022_001843-R0	Protein of unknown function
SpGA2022_001844-R0	Similar to GAUT10: Probable galacturonosyltransferase 10 (Arabidopsis thaliana)
SpGA2022_001845-R0	Similar to LOGL2: Probable cytokinin riboside 5'-monophosphate phosphoribohydrolase LOGL2 (Oryza sativa subsp. japonica)
SpGA2022_001846-R0	Similar to PUB25: U-box domain-containing protein 25 (Arabidopsis thaliana)
SpGA2022_001847-R0	Similar to PAP20: Probable purple acid phosphatase 20 (Arabidopsis thaliana)
SpGA2022_001848-R0	Similar to PAR: Phenylacetaldehyde reductase (Rosa hybrid cultivar)
SpGA2022_001849-R0	Similar to SPP2: Sucrose-phosphatase 2 (Nicotiana tabacum)
SpGA2022_001850-R0	Similar to RPT3: Root phototropism protein 3 (Arabidopsis thaliana)
SpGA2022_001851-R0	Similar to BIOF: 8-amino-7-oxononanoate synthase (Arabidopsis thaliana)
SpGA2022_001852-R0	Protein of unknown function
SpGA2022_001853-R0	Similar to pod: Peroxidase 15 (Ipomoea batatas)
SpGA2022_001854-R0	Similar to ORP4B: Oxysterol-binding protein-related protein 4B (Arabidopsis thaliana)
SpGA2022_001854-R1	Similar to ORP4B: Oxysterol-binding protein-related protein 4B (Arabidopsis thaliana)
SpGA2022_001855-R0	Protein of unknown function
SpGA2022_001856-R0	Similar to LYP6: LysM domain-containing GPI-anchored protein LYP6 (Oryza sativa subsp. japonica)
SpGA2022_001857-R0	Similar to TOR1: Microtubule-associated protein TORTIFOLIA1 (Arabidopsis thaliana)
SpGA2022_001858-R0	Similar to RPL32A: 60S ribosomal protein L32-1 (Arabidopsis thaliana)
SpGA2022_001859-R0	Similar to MTERF8: Transcription termination factor MTERF8%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_001860-R0	Similar to CCR4-3: Carbon catabolite repressor protein 4 homolog 3 (Arabidopsis thaliana)
SpGA2022_001862-R0	Protein of unknown function
SpGA2022_001863-R0	Protein of unknown function
SpGA2022_001864-R0	Similar to ARAD1: Probable arabinosyltransferase ARAD1 (Arabidopsis thaliana)
SpGA2022_001865-R0	Protein of unknown function
SpGA2022_001866-R0	Protein of unknown function
SpGA2022_001867-R0	Similar to VHA-a1: V-type proton ATPase subunit a1 (Arabidopsis thaliana)
SpGA2022_001868-R0	Similar to CPN60B1: Chaperonin 60 subunit beta 1%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_001869-R0	Similar to MRD1: Multiple RNA-binding domain-containing protein 1 (Ustilago maydis (strain 521 / FGSC 9021))
SpGA2022_001870-R0	Similar to ATL60: RING-H2 finger protein ATL60 (Arabidopsis thaliana)
SpGA2022_001871-R0	Protein of unknown function
SpGA2022_001872-R0	Similar to HTH: Protein HOTHEAD (Arabidopsis thaliana)
SpGA2022_001873-R0	Similar to SUD1: Probable E3 ubiquitin ligase SUD1 (Arabidopsis thaliana)
SpGA2022_001874-R0	Similar to GALT3: Hydroxyproline O-galactosyltransferase GALT3 (Arabidopsis thaliana)
SpGA2022_001875-R0	Similar to CYCD5-3: Cyclin-D5-3 (Oryza sativa subsp. japonica)
SpGA2022_001876-R0	Similar to NAT6: Nucleobase-ascorbate transporter 6 (Arabidopsis thaliana)
SpGA2022_001877-R0	Protein of unknown function
SpGA2022_001878-R0	Protein of unknown function
SpGA2022_001879-R0	Similar to HSFB2C: Heat stress transcription factor B-2c (Oryza sativa subsp. japonica)
SpGA2022_001880-R0	Protein of unknown function
SpGA2022_001881-R0	Similar to Rnf5: E3 ubiquitin-protein ligase RNF5 (Rattus norvegicus)
SpGA2022_001882-R0	Protein of unknown function
SpGA2022_001883-R0	Similar to DIT1: Dicarboxylate transporter 1%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_001884-R0	Similar to RPL9: 60S ribosomal protein L9 (Oryza sativa subsp. japonica)
SpGA2022_001885-R0	Similar to MT4B: Metallothionein-like protein 4B (Arabidopsis thaliana)
SpGA2022_001886-R0	Protein of unknown function
SpGA2022_001887-R0	Similar to TPS11: Probable terpene synthase 11 (Ricinus communis)
SpGA2022_001888-R0	Similar to EMB2369: Leucine--tRNA ligase%2C chloroplastic/mitochondrial (Arabidopsis thaliana)
SpGA2022_001889-R0	Protein of unknown function
SpGA2022_001890-R0	Protein of unknown function
SpGA2022_001891-R0	Similar to SDC1: Serine decarboxylase 1 (Oryza sativa subsp. japonica)
SpGA2022_001892-R0	Protein of unknown function
SpGA2022_001893-R0	Protein of unknown function
SpGA2022_001894-R0	Similar to OFP1: Transcription repressor OFP1 (Arabidopsis thaliana)
SpGA2022_001895-R0	Protein of unknown function
SpGA2022_001896-R0	Protein of unknown function
SpGA2022_001897-R0	Similar to ROC8: Homeobox-leucine zipper protein ROC8 (Oryza sativa subsp. japonica)
SpGA2022_001898-R0	Protein of unknown function
SpGA2022_001899-R0	Similar to BHLH089: Transcription factor BHLH089 (Oryza sativa subsp. japonica)
SpGA2022_001900-R0	Protein of unknown function
SpGA2022_001901-R0	Protein of unknown function
SpGA2022_001902-R0	Similar to CRK7: Cysteine-rich receptor-like protein kinase 7 (Arabidopsis thaliana)
SpGA2022_001903-R0	Similar to YAB6: Protein YABBY 6 (Oryza sativa subsp. japonica)
SpGA2022_001904-R0	Similar to PK1: Putative receptor protein kinase ZmPK1 (Zea mays)
SpGA2022_001905-R0	Protein of unknown function
SpGA2022_001906-R0	Protein of unknown function
SpGA2022_001907-R0	Protein of unknown function
SpGA2022_001908-R0	Similar to EMB1027: Arginine--tRNA ligase%2C chloroplastic/mitochondrial (Arabidopsis thaliana)
SpGA2022_001909-R0	Protein of unknown function
SpGA2022_001910-R0	Similar to CAD1: MACPF domain-containing protein CAD1 (Arabidopsis thaliana)
SpGA2022_001911-R0	Protein of unknown function
SpGA2022_001912-R0	Similar to FAH1: Dihydroceramide fatty acyl 2-hydroxylase FAH1 (Arabidopsis thaliana)
SpGA2022_001913-R0	Similar to PNSB3: Photosynthetic NDH subunit of subcomplex B 3%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_001914-R0	Similar to PBB2: Proteasome subunit beta type-7-B (Arabidopsis thaliana)
SpGA2022_001915-R0	Protein of unknown function
SpGA2022_001916-R0	Protein of unknown function
SpGA2022_001917-R0	Similar to KNAT6: Homeobox protein knotted-1-like 6 (Arabidopsis thaliana)
SpGA2022_001918-R0	Similar to UBC28: Ubiquitin-conjugating enzyme E2 28 (Arabidopsis thaliana)
SpGA2022_001919-R0	Similar to BHLH107: Putative transcription factor bHLH107 (Arabidopsis thaliana)
SpGA2022_001920-R0	Similar to NAC075: NAC domain-containing protein 75 (Arabidopsis thaliana)
SpGA2022_001921-R0	Similar to Os10g0516300: Electron transfer flavoprotein-ubiquinone oxidoreductase%2C mitochondrial (Oryza sativa subsp. japonica)
SpGA2022_001922-R0	Similar to OFP8: Transcription repressor OFP8 (Arabidopsis thaliana)
SpGA2022_001923-R0	Similar to ZHD8: Zinc-finger homeodomain protein 8 (Arabidopsis thaliana)
SpGA2022_050333-R0	Protein of unknown function
SpGA2022_001925-R0	Similar to Os02g0677700: Zinc finger CCCH domain-containing protein 17 (Oryza sativa subsp. japonica)
SpGA2022_001926-R0	Similar to VIT1: Vacuolar iron transporter 1 (Oryza sativa subsp. japonica)
SpGA2022_001927-R0	Protein of unknown function
SpGA2022_001928-R0	Similar to FLA17: Fasciclin-like arabinogalactan protein 17 (Arabidopsis thaliana)
SpGA2022_001929-R0	Similar to DOF3.6: Dof zinc finger protein DOF3.6 (Arabidopsis thaliana)
SpGA2022_001930-R0	Similar to MIEL1: E3 ubiquitin-protein ligase MIEL1 (Arabidopsis thaliana)
SpGA2022_001931-R0	Similar to At5g01750: Protein LURP-one-related 15 (Arabidopsis thaliana)
SpGA2022_001932-R0	Protein of unknown function
SpGA2022_001933-R0	Similar to PP2B8: Putative F-box protein PP2-B8 (Arabidopsis thaliana)
SpGA2022_001934-R0	Similar to At2g02240: F-box protein At2g02240 (Arabidopsis thaliana)
SpGA2022_001935-R0	Similar to LEA5-D: Late embryogenesis abundant protein Lea5-D (Gossypium hirsutum)
SpGA2022_001936-R0	Similar to At5g02620: Ankyrin repeat-containing protein At5g02620 (Arabidopsis thaliana)
SpGA2022_001937-R0	Similar to BRG3: Probable BOI-related E3 ubiquitin-protein ligase 3 (Arabidopsis thaliana)
SpGA2022_001938-R0	Protein of unknown function
SpGA2022_001939-R0	Similar to PILS7: Protein PIN-LIKES 7 (Arabidopsis thaliana)
SpGA2022_001940-R0	Similar to UGT78D2: Flavonol 3-O-glucosyltransferase (Arabidopsis thaliana)
SpGA2022_001940-R1	Similar to UGT78D2: Flavonol 3-O-glucosyltransferase (Arabidopsis thaliana)
SpGA2022_001941-R0	Similar to DDB_G0268948: Putative methyltransferase DDB_G0268948 (Dictyostelium discoideum)
SpGA2022_001942-R0	Similar to IDD4: Protein indeterminate-domain 4%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_001943-R0	Similar to Os01g0192000: Zinc finger CCCH domain-containing protein 2 (Oryza sativa subsp. japonica)
SpGA2022_001944-R0	Similar to MUCI70: Probable hexosyltransferase MUCI70 (Arabidopsis thaliana)
SpGA2022_001945-R0	Similar to KN1: Homeotic protein knotted-1 (Solanum lycopersicum)
SpGA2022_001946-R0	Similar to SYP22: Syntaxin-22 (Arabidopsis thaliana)
SpGA2022_001947-R0	Similar to WOX2: WUSCHEL-related homeobox 2 (Arabidopsis thaliana)
SpGA2022_001948-R0	Protein of unknown function
SpGA2022_001949-R0	Similar to MSL8: Mechanosensitive ion channel protein 8 (Arabidopsis thaliana)
SpGA2022_001950-R0	Similar to MNS3: Mannosyl-oligosaccharide 1%2C2-alpha-mannosidase MNS3 (Arabidopsis thaliana)
SpGA2022_001951-R0	Similar to ABCG36: ABC transporter G family member 36 (Oryza sativa subsp. indica)
SpGA2022_001952-R0	Protein of unknown function
SpGA2022_001953-R0	Protein of unknown function
SpGA2022_001954-R0	Similar to CYP85A1: Cytochrome P450 85A1 (Oryza sativa subsp. japonica)
SpGA2022_001955-R0	Similar to BA13: Cytochrome P450 85A (Phaseolus vulgaris)
SpGA2022_001956-R0	Similar to EC1.1: Egg cell-secreted protein 1.1 (Arabidopsis thaliana)
SpGA2022_001957-R0	Similar to At5g61250: Heparanase-like protein 2 (Arabidopsis thaliana)
SpGA2022_001958-R0	Similar to At1g50180: Putative disease resistance protein At1g50180 (Arabidopsis thaliana)
SpGA2022_001959-R0	Similar to ARP1: Probable RNA-binding protein ARP1 (Arabidopsis thaliana)
SpGA2022_001960-R0	Protein of unknown function
SpGA2022_001961-R0	Protein of unknown function
SpGA2022_050335-R0	Similar to GHD7: Transcription factor GHD7 (Oryza sativa subsp. japonica)
SpGA2022_001963-R0	Similar to At1g21780: BTB/POZ domain-containing protein At1g21780 (Arabidopsis thaliana)
SpGA2022_001964-R0	Protein of unknown function
SpGA2022_050336-R0	Similar to IQD19: Protein IQ-DOMAIN 19 (Arabidopsis thaliana)
SpGA2022_001966-R0	Similar to RLP29: Receptor like protein 29 (Arabidopsis thaliana)
SpGA2022_001967-R0	Similar to ALAAT2: Alanine aminotransferase 2%2C mitochondrial (Arabidopsis thaliana)
SpGA2022_001968-R0	Similar to Alanine aminotransferase 2 (Hordeum vulgare)
SpGA2022_001969-R0	Similar to At5g64030: Probable methyltransferase PMT26 (Arabidopsis thaliana)
SpGA2022_001970-R0	Similar to SAUR71: Auxin-responsive protein SAUR71 (Arabidopsis thaliana)
SpGA2022_001971-R0	Similar to BHLH49: Transcription factor bHLH49 (Arabidopsis thaliana)
SpGA2022_001972-R0	Similar to MYB20: Transcription factor MYB20 (Arabidopsis thaliana)
SpGA2022_001973-R0	Protein of unknown function
SpGA2022_001974-R0	Similar to At3g13980: Protein BIG GRAIN 1-like A (Arabidopsis thaliana)
SpGA2022_001975-R0	Protein of unknown function
SpGA2022_001976-R0	Similar to piv: Pilin gene-inverting protein (Moraxella bovis)
SpGA2022_001977-R0	Protein of unknown function
SpGA2022_001978-R0	Similar to CCR1: Cinnamoyl-CoA reductase 1 (Petunia hybrida)
SpGA2022_001979-R0	Protein of unknown function
SpGA2022_001980-R0	Similar to SGPP: Haloacid dehalogenase-like hydrolase domain-containing protein Sgpp (Arabidopsis thaliana)
SpGA2022_001981-R0	Protein of unknown function
SpGA2022_001982-R0	Protein of unknown function
SpGA2022_001983-R0	Protein of unknown function
SpGA2022_001984-R0	Similar to rpoB: DNA-directed RNA polymerase subunit beta (Lemna minor)
SpGA2022_001985-R0	Similar to SKD1: Protein SUPPRESSOR OF K(+) TRANSPORT GROWTH DEFECT 1 (Arabidopsis thaliana)
SpGA2022_001986-R0	Similar to ARF18: Auxin response factor 18 (Oryza sativa subsp. japonica)
SpGA2022_001987-R0	Similar to FOLD2: Bifunctional protein FolD 2 (Arabidopsis thaliana)
SpGA2022_001988-R0	Similar to FOLD2: Bifunctional protein FolD 2 (Arabidopsis thaliana)
SpGA2022_001989-R0	Similar to Histone H3 (Narcissus pseudonarcissus)
SpGA2022_001990-R0	Similar to HIPP08: Heavy metal-associated isoprenylated plant protein 8 (Arabidopsis thaliana)
SpGA2022_001991-R0	Protein of unknown function
SpGA2022_001992-R0	Protein of unknown function
SpGA2022_001993-R0	Similar to CNGC4: Cyclic nucleotide-gated ion channel 4 (Arabidopsis thaliana)
SpGA2022_001994-R0	Similar to At5g58090: Glucan endo-1%2C3-beta-glucosidase 6 (Arabidopsis thaliana)
SpGA2022_001995-R0	Protein of unknown function
SpGA2022_001996-R0	Protein of unknown function
SpGA2022_001997-R0	Similar to ENY: Zinc finger protein ENHYDROUS (Arabidopsis thaliana)
SpGA2022_001998-R0	Similar to AM1: Protein AMEIOTIC 1 (Zea mays)
SpGA2022_001999-R0	Similar to UGT75L17: Phloretin 4'-O-glucosyltransferase (Malus domestica)
SpGA2022_002000-R0	Protein of unknown function
SpGA2022_002001-R0	Similar to tlcd4b: TLC domain-containing protein 4-B (Danio rerio)
SpGA2022_002002-R0	Protein of unknown function
SpGA2022_002003-R0	Protein of unknown function
SpGA2022_002004-R0	Protein of unknown function
SpGA2022_002005-R0	Protein of unknown function
SpGA2022_002006-R0	Similar to secA: Protein translocase subunit SecA%2C chloroplastic (Spinacia oleracea)
SpGA2022_002007-R0	Similar to GSVIVT00037159001: Peroxidase 5 (Vitis vinifera)
SpGA2022_002008-R0	Similar to SD17: Receptor-like serine/threonine-protein kinase SD1-7 (Arabidopsis thaliana)
SpGA2022_002009-R0	Similar to GOT1: Vesicle transport protein GOT1 (Arabidopsis thaliana)
SpGA2022_002010-R0	Protein of unknown function
SpGA2022_050337-R0	Similar to ZFP1: Zinc finger protein 1 (Arabidopsis thaliana)
SpGA2022_002012-R0	Similar to NPF2.6: Protein NRT1/ PTR FAMILY 2.6 (Arabidopsis thaliana)
SpGA2022_002013-R0	Protein of unknown function
SpGA2022_002014-R0	Similar to HST: Shikimate O-hydroxycinnamoyltransferase (Nicotiana tabacum)
SpGA2022_002015-R0	Similar to ACR10: ACT domain-containing protein ACR10 (Arabidopsis thaliana)
SpGA2022_002016-R0	Similar to WAV2: Alpha/beta hydrolase domain-containing protein WAV2 (Arabidopsis thaliana)
SpGA2022_002017-R0	Protein of unknown function
SpGA2022_002018-R0	Similar to NPF5.8: Protein NRT1/ PTR FAMILY 5.8 (Arabidopsis thaliana)
SpGA2022_002019-R0	Similar to FT: Protein FLOWERING LOCUS T (Arabidopsis thaliana)
SpGA2022_002020-R0	Similar to GSVIVT00026920001: Probable polygalacturonase (Vitis vinifera)
SpGA2022_002021-R0	Protein of unknown function
SpGA2022_002022-R0	Similar to At2g03980: GDSL esterase/lipase At2g03980 (Arabidopsis thaliana)
SpGA2022_002023-R0	Similar to DIR4: Dirigent protein 4 (Arabidopsis thaliana)
SpGA2022_002024-R0	Similar to WRKY14: Probable WRKY transcription factor 14 (Arabidopsis thaliana)
SpGA2022_002025-R0	Similar to DTX33: Protein DETOXIFICATION 33 (Arabidopsis thaliana)
SpGA2022_002026-R0	Protein of unknown function
SpGA2022_002027-R0	Similar to PAP4: Purple acid phosphatase 4 (Arabidopsis thaliana)
SpGA2022_002028-R0	Similar to HSP70-6: Heat shock 70 kDa protein 6%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_002029-R0	Protein of unknown function
SpGA2022_002030-R0	Protein of unknown function
SpGA2022_002031-R0	Protein of unknown function
SpGA2022_002032-R0	Protein of unknown function
SpGA2022_002033-R0	Protein of unknown function
SpGA2022_002036-R0	Similar to IPI1: E3 ubiquitin-protein ligase IPI1 (Oryza sativa subsp. japonica)
SpGA2022_002037-R0	Similar to NHL10: NDR1/HIN1-like protein 10 (Arabidopsis thaliana)
SpGA2022_002038-R0	Protein of unknown function
SpGA2022_002039-R0	Protein of unknown function
SpGA2022_002040-R0	Similar to Antimicrobial peptide 1 (Macadamia integrifolia)
SpGA2022_002040-R1	Similar to Antimicrobial peptide 1 (Macadamia integrifolia)
SpGA2022_002041-R0	Protein of unknown function
SpGA2022_002042-R0	Protein of unknown function
SpGA2022_002043-R0	Protein of unknown function
SpGA2022_002044-R0	Protein of unknown function
SpGA2022_002045-R0	Protein of unknown function
SpGA2022_050339-R0	Similar to PTM: DDT domain-containing protein PTM (Arabidopsis thaliana)
SpGA2022_002047-R0	Similar to HDT1: Histone deacetylase HDT1 (Glycine max)
SpGA2022_002048-R0	Similar to mettl13: eEF1A lysine and N-terminal methyltransferase (Xenopus laevis)
SpGA2022_050340-R0	Similar to PCMP-H24: Pentatricopeptide repeat-containing protein At4g02750 (Arabidopsis thaliana)
SpGA2022_050341-R0	Protein of unknown function
SpGA2022_050342-R0	Similar to RLPH2: Tyrosine-protein phosphatase RLPH2 (Arabidopsis thaliana)
SpGA2022_002054-R0	Protein of unknown function
SpGA2022_050343-R0	Similar to PDR2: Pleiotropic drug resistance protein 2 (Nicotiana plumbaginifolia)
SpGA2022_002055-R0	Similar to slr0328: Putative low molecular weight protein-tyrosine-phosphatase slr0328 (Synechocystis sp. (strain PCC 6803 / Kazusa))
SpGA2022_050344-R0	Protein of unknown function
SpGA2022_002056-R0	Similar to NAC075: NAC domain-containing protein 75 (Arabidopsis thaliana)
SpGA2022_002057-R0	Similar to APS1: Acid phosphatase 1 (Solanum lycopersicum)
SpGA2022_002057-R1	Similar to APS1: Acid phosphatase 1 (Solanum lycopersicum)
SpGA2022_002058-R0	Similar to LRX4: Leucine-rich repeat extensin-like protein 4 (Arabidopsis thaliana)
SpGA2022_002059-R0	Protein of unknown function
SpGA2022_050346-R0	Similar to MKK1: Mitogen-activated protein kinase kinase 1 (Oryza sativa subsp. japonica)
SpGA2022_050347-R0	Similar to PME53: Probable pectinesterase 53 (Arabidopsis thaliana)
SpGA2022_002062-R0	Protein of unknown function
SpGA2022_002063-R0	Protein of unknown function
SpGA2022_002064-R0	Protein of unknown function
SpGA2022_002065-R0	Similar to IQD26: Protein IQ-domain 26 (Arabidopsis thaliana)
SpGA2022_002066-R0	Protein of unknown function
SpGA2022_002067-R0	Protein of unknown function
SpGA2022_002068-R0	Protein of unknown function
SpGA2022_002069-R0	Similar to DTX51: Protein DETOXIFICATION 51 (Arabidopsis thaliana)
SpGA2022_050348-R0	Similar to LOS1: Elongation factor 2 (Arabidopsis thaliana)
SpGA2022_002071-R0	Similar to IAA26: Auxin-responsive protein IAA26 (Arabidopsis thaliana)
SpGA2022_050349-R0	Similar to LYK3: LysM domain receptor-like kinase 3 (Arabidopsis thaliana)
SpGA2022_002073-R0	Similar to P85: Senescence/dehydration-associated protein At4g35985%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_002074-R0	Similar to SPAC3F10.06c: Uncharacterized protein C3F10.06c (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
SpGA2022_002075-R0	Similar to rnf181: E3 ubiquitin-protein ligase RNF181 (Xenopus tropicalis)
SpGA2022_002076-R0	Protein of unknown function
SpGA2022_002076-R1	Similar to NADP-dependent malic enzyme (Vitis vinifera)
SpGA2022_002078-R0	Similar to At3g19950: E3 ubiquitin-protein ligase RING1-like (Arabidopsis thaliana)
SpGA2022_050351-R0	Similar to crbn: Protein cereblon (Danio rerio)
SpGA2022_050352-R0	Similar to KUA1: Transcription factor KUA1 (Arabidopsis thaliana)
SpGA2022_002081-R0	Similar to ABCB8: Putative ABC transporter B family member 8 (Arabidopsis thaliana)
SpGA2022_002082-R0	Protein of unknown function
SpGA2022_002083-R0	Similar to ABCG42: ABC transporter G family member 42 (Oryza sativa subsp. japonica)
SpGA2022_002084-R0	Protein of unknown function
SpGA2022_002085-R0	Similar to Os01g0744400: Golgin-84 (Oryza sativa subsp. japonica)
SpGA2022_002086-R0	Protein of unknown function
SpGA2022_002087-R0	Similar to CSE: Caffeoylshikimate esterase (Arabidopsis thaliana)
SpGA2022_002088-R0	Protein of unknown function
SpGA2022_050353-R0	Similar to PURKE: Phosphoribosylaminoimidazole carboxylase%2C chloroplastic (Fragment) (Vigna aconitifolia)
SpGA2022_002090-R0	Protein of unknown function
SpGA2022_002091-R0	Similar to GATA9: GATA transcription factor 9 (Arabidopsis thaliana)
SpGA2022_002093-R0	Similar to PCMP-E52: Pentatricopeptide repeat-containing protein At4g39530 (Arabidopsis thaliana)
SpGA2022_002093-R1	Similar to PCMP-E76: Pentatricopeptide repeat-containing protein At2g13600 (Arabidopsis thaliana)
SpGA2022_002093-R2	Similar to PCMP-E23: Pentatricopeptide repeat-containing protein At2g34400 (Arabidopsis thaliana)
SpGA2022_002092-R0	Protein of unknown function
SpGA2022_002095-R0	Similar to NUP35: Nuclear pore complex protein NUP35 (Arabidopsis thaliana)
SpGA2022_050355-R0	Similar to FTSHI2: Probable inactive ATP-dependent zinc metalloprotease FTSHI 2%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_002097-R0	Protein of unknown function
SpGA2022_002098-R0	Similar to At2g25830: Probable transcriptional regulatory protein At2g25830 (Arabidopsis thaliana)
SpGA2022_002099-R0	Similar to CCD8B: Carotenoid cleavage dioxygenase 8 homolog B%2C chloroplastic (Oryza sativa subsp. japonica)
SpGA2022_002100-R0	Similar to PWP2: Periodic tryptophan protein 2 (Arabidopsis thaliana)
SpGA2022_002101-R0	Similar to CCD8B: Carotenoid cleavage dioxygenase 8 homolog B%2C chloroplastic (Oryza sativa subsp. japonica)
SpGA2022_002102-R0	Similar to CCD8B: Carotenoid cleavage dioxygenase 8 homolog B%2C chloroplastic (Oryza sativa subsp. japonica)
SpGA2022_002103-R0	Similar to WAK5: Wall-associated receptor kinase 5 (Arabidopsis thaliana)
SpGA2022_002104-R0	Protein of unknown function
SpGA2022_002105-R0	Similar to CRRSP38: Cysteine-rich repeat secretory protein 38 (Arabidopsis thaliana)
SpGA2022_002106-R0	Similar to GDH2: Glutamate dehydrogenase 2 (Arabidopsis thaliana)
SpGA2022_002107-R0	Protein of unknown function
SpGA2022_002108-R0	Protein of unknown function
SpGA2022_002109-R0	Similar to SBT2.5: Subtilisin-like protease SBT2.5 (Arabidopsis thaliana)
SpGA2022_002110-R0	Similar to SEC6: Exocyst complex component SEC6 (Arabidopsis thaliana)
SpGA2022_002111-R0	Protein of unknown function
SpGA2022_002112-R0	Protein of unknown function
SpGA2022_050356-R0	Similar to PCMP-H24: Pentatricopeptide repeat-containing protein At4g02750 (Arabidopsis thaliana)
SpGA2022_002113-R0	Similar to RBX1A: RING-box protein 1a (Arabidopsis thaliana)
SpGA2022_050357-R0	Similar to DNAJC14: DnaJ homolog subfamily C member 14 (Homo sapiens)
SpGA2022_050358-R0	Similar to AGDP1: Protein AGENET DOMAIN (AGD)-CONTAINING P1 (Arabidopsis thaliana)
SpGA2022_002116-R0	Similar to SCP26: Serine carboxypeptidase-like 26 (Oryza sativa subsp. japonica)
SpGA2022_002117-R0	Similar to NIFU1: NifU-like protein 1%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_050359-R0	Protein of unknown function
SpGA2022_002119-R0	Similar to TCM_034091: Probable jasmonic acid carboxyl methyltransferase 2 (Theobroma cacao)
SpGA2022_002120-R0	Protein of unknown function
SpGA2022_050360-R0	Similar to SFR2: Beta-glucosidase-like SFR2%2C chloroplastic (Oryza sativa subsp. japonica)
SpGA2022_002122-R0	Similar to Os01g0252200: Zinc finger CCCH domain-containing protein 3 (Oryza sativa subsp. japonica)
SpGA2022_050361-R0	Similar to BOR2: Probable boron transporter 2 (Arabidopsis thaliana)
SpGA2022_050362-R0	Similar to RH40: DEAD-box ATP-dependent RNA helicase 40 (Arabidopsis thaliana)
SpGA2022_002125-R0	Similar to At1g09380: WAT1-related protein At1g09380 (Arabidopsis thaliana)
SpGA2022_050363-R0	Similar to RPS1: 30S ribosomal protein S1%2C chloroplastic (Spinacia oleracea)
SpGA2022_050364-R0	Similar to SAMS: S-adenosylmethionine synthase (Dendrobium crumenatum)
SpGA2022_002128-R0	Similar to EMB2744: Pentatricopeptide repeat-containing protein At5g39680 (Arabidopsis thaliana)
SpGA2022_050365-R0	Similar to EMB2744: Pentatricopeptide repeat-containing protein At5g39680 (Arabidopsis thaliana)
SpGA2022_002130-R0	Similar to At2g42960: Probable receptor-like protein kinase At2g42960 (Arabidopsis thaliana)
SpGA2022_050366-R0	Similar to At2g17140: Pentatricopeptide repeat-containing protein At2g17140 (Arabidopsis thaliana)
SpGA2022_002132-R0	Protein of unknown function
SpGA2022_002133-R0	Similar to THT2: Tryptamine hydroxycinnamoyltransferase 2 (Oryza sativa subsp. japonica)
SpGA2022_002134-R0	Protein of unknown function
SpGA2022_002135-R0	Similar to TY3B-I: Transposon Ty3-I Gag-Pol polyprotein (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
SpGA2022_002136-R0	Similar to pol: Retrovirus-related Pol polyprotein from transposon 17.6 (Drosophila melanogaster)
SpGA2022_002137-R0	Protein of unknown function
SpGA2022_002138-R0	Similar to PRORP3: Proteinaceous RNase P 3 (Arabidopsis thaliana)
SpGA2022_002139-R0	Similar to At5g22100: Probable RNA 3'-terminal phosphate cyclase-like protein (Arabidopsis thaliana)
SpGA2022_002140-R0	Protein of unknown function
SpGA2022_002141-R0	Similar to FUT1: Galactoside 2-alpha-L-fucosyltransferase (Arabidopsis thaliana)
SpGA2022_002142-R0	Protein of unknown function
SpGA2022_050367-R0	Similar to FUT1: Galactoside 2-alpha-L-fucosyltransferase (Arabidopsis thaliana)
SpGA2022_050368-R0	Similar to MSK-3: Glycogen synthase kinase-3 homolog MsK-3 (Medicago sativa)
SpGA2022_002144-R0	Similar to VIP3: WD repeat-containing protein VIP3 (Arabidopsis thaliana)
SpGA2022_002145-R0	Similar to FUT1: Galactoside 2-alpha-L-fucosyltransferase (Arabidopsis thaliana)
SpGA2022_002146-R0	Similar to PIGC: Phosphatidylinositol N-acetylglucosaminyltransferase subunit C (Arabidopsis thaliana)
SpGA2022_002147-R0	Similar to PSMG4: Proteasome assembly chaperone 4 (Homo sapiens)
SpGA2022_002148-R0	Protein of unknown function
SpGA2022_050369-R0	Similar to GFS12: Protein GFS12 (Arabidopsis thaliana)
SpGA2022_002150-R0	Protein of unknown function
SpGA2022_002151-R0	Similar to 1-Cys peroxiredoxin (Medicago truncatula)
SpGA2022_050370-R0	Protein of unknown function
SpGA2022_002153-R0	Protein of unknown function
SpGA2022_050371-R0	Similar to SPT16: FACT complex subunit SPT16 (Zea mays)
SpGA2022_002155-R0	Similar to RPL3B: 50S ribosomal protein L3-2%2C mitochondrial (Arabidopsis thaliana)
SpGA2022_050372-R0	Similar to HCF107: Protein high chlorophyll fluorescent 107 (Arabidopsis thaliana)
SpGA2022_002157-R0	Protein of unknown function
SpGA2022_002157-R1	Protein of unknown function
SpGA2022_050374-R0	Protein of unknown function
SpGA2022_002159-R0	Protein of unknown function
SpGA2022_002160-R0	Protein of unknown function
